Feature,Importance
resnet_330,0.0009664899
resnet_378,0.000966373
resnet_35,0.00096581
yolo_233,0.00096034433
resnet_481,0.000957494
yolo_111,0.00095383474
resnet_432,0.00095234765
resnet_1,0.00095111184
resnet_46,0.0009505544
resnet_248,0.0009501424
yolo_194,0.00094885804
resnet_64,0.0009457207
resnet_265,0.00094523997
resnet_441,0.00094500795
resnet_28,0.00094420963
resnet_497,0.0009435482
resnet_491,0.00094060344
resnet_23,0.00093917595
resnet_249,0.00093850034
resnet_129,0.00093777286
resnet_328,0.0009262529
resnet_103,0.00092353066
yolo_213,0.0009214316
resnet_355,0.0009208533
yolo_81,0.00091914163
resnet_332,0.0009163055
resnet_181,0.0009150656
yolo_156,0.0009129364
resnet_401,0.0009128513
resnet_107,0.000912488
resnet_20,0.0009097956
resnet_504,0.0009092395
resnet_15,0.00090895704
resnet_214,0.0009083442
resnet_395,0.0009067346
resnet_43,0.0009040406
resnet_136,0.0009024177
resnet_422,0.0009023422
yolo_26,0.00090184406
resnet_437,0.0008976315
resnet_452,0.0008960983
resnet_466,0.00089472585
resnet_287,0.00089397625
resnet_302,0.0008934248
resnet_230,0.0008917737
resnet_58,0.0008906503
yolo_206,0.000887829
resnet_51,0.00088759244
resnet_418,0.0008869195
yolo_105,0.0008829283
resnet_396,0.00088208204
resnet_63,0.0008810135
resnet_358,0.00088072754
yolo_164,0.0008798188
yolo_149,0.0008748553
resnet_322,0.00087288726
resnet_343,0.00087259547
b_std,0.0008717028
resnet_114,0.0008692708
yolo_238,0.0008689601
yolo_160,0.0008668077
resnet_456,0.0008651124
resnet_511,0.0008628474
resnet_350,0.00086083007
resnet_298,0.00085823116
resnet_163,0.0008566789
resnet_74,0.0008547478
resnet_382,0.0008541286
yolo_7,0.0008528152
yolo_221,0.00085205014
yolo_88,0.000851032
yolo_24,0.0008497326
resnet_131,0.00084305834
resnet_271,0.0008423289
yolo_161,0.0008397429
resnet_157,0.0008393641
resnet_476,0.0008386524
resnet_151,0.0008373644
resnet_339,0.0008363902
yolo_137,0.0008353903
resnet_449,0.00083161
yolo_198,0.0008303955
yolo_45,0.00083001796
yolo_143,0.00082994957
resnet_365,0.0008230791
yolo_242,0.00082244584
yolo_129,0.0008205758
resnet_27,0.0008176605
resnet_489,0.0008169164
resnet_36,0.00081340736
resnet_221,0.0008117882
a_std,0.0008108304
yolo_29,0.0008101192
resnet_336,0.0008063639
resnet_9,0.00080521294
yolo_76,0.0007996787
resnet_393,0.000798785
yolo_35,0.00079606863
resnet_457,0.00079584384
yolo_240,0.00079459633
resnet_472,0.0007927625
yolo_64,0.0007903341
h_std,0.00079029484
resnet_37,0.00078934716
resnet_62,0.00078927324
resnet_406,0.00078734686
resnet_205,0.0007864692
resnet_447,0.00078501913
resnet_311,0.00078266766
yolo_136,0.00078213855
resnet_84,0.00078019546
resnet_185,0.0007794497
resnet_104,0.0007777224
resnet_250,0.0007738367
yolo_46,0.0007712087
resnet_308,0.0007705955
resnet_484,0.0007695012
resnet_32,0.0007665118
yolo_181,0.0007660256
yolo_54,0.0007658543
yolo_56,0.0007650975
yolo_87,0.0007589884
resnet_14,0.0007573019
resnet_280,0.000756909
resnet_113,0.00075670204
yolo_152,0.00075611094
resnet_420,0.0007553003
resnet_227,0.0007518506
yolo_43,0.0007501968
resnet_190,0.0007431664
resnet_272,0.00073941244
resnet_116,0.0007378476
resnet_488,0.0007377012
yolo_15,0.00073753897
resnet_92,0.00073696295
resnet_213,0.00073540595
resnet_11,0.00073538604
resnet_369,0.00073424896
resnet_19,0.00073226733
resnet_29,0.0007310589
yolo_247,0.000730272
resnet_143,0.00072870497
resnet_390,0.0007228849
s_mean,0.00072207267
resnet_404,0.00072195963
resnet_499,0.0007214661
yolo_241,0.00071951345
yolo_186,0.0007176157
resnet_267,0.0007170617
resnet_127,0.0007162964
resnet_10,0.0007149325
resnet_93,0.00071469694
resnet_132,0.00071267557
yolo_146,0.0007112231
resnet_75,0.0007106955
yolo_189,0.0007093639
resnet_72,0.00070920185
yolo_122,0.000708578
resnet_178,0.00070662197
resnet_288,0.0006981314
resnet_125,0.00069487165
yolo_85,0.00069244986
resnet_407,0.00069026044
yolo_18,0.00068993564
resnet_445,0.0006802796
yolo_142,0.00067980285
yolo_169,0.0006734912
resnet_81,0.00067130517
yolo_103,0.0006708416
yolo_144,0.0006672258
resnet_187,0.00066632306
yolo_30,0.0006662611
resnet_124,0.00066070136
yolo_170,0.0006578845
yolo_0,0.0006538127
resnet_363,0.00065276516
yolo_166,0.00064657314
resnet_408,0.0006451398
resnet_94,0.00064334547
yolo_168,0.0006432256
resnet_419,0.0006422836
yolo_126,0.00064107793
yolo_220,0.0006391062
resnet_387,0.00063842605
resnet_241,0.0006347857
resnet_342,0.00063291495
resnet_238,0.0006305732
resnet_39,0.0006256455
resnet_416,0.0006253994
resnet_318,0.0006252335
resnet_436,0.00062231615
resnet_307,0.000620827
resnet_137,0.0006207669
resnet_482,0.0006200321
yolo_134,0.0006155551
resnet_216,0.0006148355
resnet_510,0.0006113241
yolo_120,0.0006072107
resnet_411,0.00060627307
yolo_173,0.0006047134
resnet_285,0.00060365006
resnet_31,0.0006024303
resnet_260,0.00060195156
yolo_1,0.0006003589
resnet_394,0.0005984421
yolo_147,0.0005943265
resnet_498,0.00059210777
resnet_423,0.00058758014
s_std,0.0005811334
resnet_460,0.0005780572
yolo_78,0.00057591347
resnet_367,0.0005721576
yolo_102,0.0005717596
yolo_182,0.0005689948
resnet_3,0.00056499994
yolo_79,0.0005649509
resnet_392,0.00056303886
yolo_84,0.00056245126
resnet_312,0.0005604709
yolo_133,0.00055924087
resnet_434,0.00055818696
yolo_237,0.00055651326
yolo_36,0.0005519947
resnet_340,0.0005495023
resnet_297,0.0005481677
resnet_202,0.0005397834
resnet_128,0.00053792476
resnet_450,0.00053771556
resnet_331,0.00053277495
yolo_72,0.0005229857
resnet_402,0.000517858
resnet_80,0.00051683385
resnet_7,0.0005147877
yolo_245,0.0005141265
yolo_205,0.00051405444
resnet_218,0.0005137338
resnet_403,0.00051354413
